time,part,x_r,y_r,z_r,x_d,y_d,z_d
0.833333,tail root,-23.8907,18.8754,-6,-23.8907,18.8754,-6
0.833333,head center,14.2277,-6.8731,19,14.2277,-6.8731,19
0.833333,tail base,-6.07449,6.84079,19,-6.07449,6.84079,19
0.866667,nose,32.3322,-16.7554,2.5,31.6817,-17.7699,2.5
0.866667,left ear,19.1631,0.175,19,19.5562,-0.0770733,19
0.866667,right ear,11.1936,-13.1192,19,10.8004,-12.8671,19
0.866667,left front paw,21.437,-3.81146,-8,23.5071,-5.05245,-8
0.866667,right front paw,15.7812,-13.2461,-8,13.7111,-12.0051,-8
0.866667,left hind paw,1.10612,17.7038,-8,-0.964003,18.9447,-8
0.866667,right hind paw,-12.7763,-5.45391,-8,-10.7062,-6.6949,-8
0.866667,tail root,-24.2755,17.1795,-6,-24.2755,17.1795,-6
0.866667,head center,15.1783,-6.47211,19,15.1783,-6.47211,19
0.866667,tail base,-5.8351,6.12492,19,-5.8351,6.12492,19
0.9,nose,31.8752,-18.5779,2.5,30.9943,-19.7923,2.5
0.9,left ear,19.5682,-1.01084,19,20.0388,-1.35218,19
0.9,right ear,10.9446,-13.8904,19,10.4739,-13.5491,19
0.9,left front paw,21.6401,-5.1059,-8,24.1387,-6.77884,-8
0.9,right front paw,15.5201,-14.2462,-8,13.0215,-12.5733,-8
0.9,left hind paw,2.40921,17.3979,-8,-0.0893713,19.0709,-8
0.9,right hind paw,-12.6126,-5.03745,-8,-10.114,-6.71039,-8
0.9,tail root,-22.9669,18.142,-6,-22.9669,18.142,-6
0.9,head center,15.2564,-7.45062,19,15.2564,-7.45062,19
0.9,tail base,-5.10167,6.18024,19,-5.10167,6.18024,19
0.933333,nose,35.6191,-12.8824,2.5,34.8467,-14.5043,2.5
0.933333,left ear,20.2089,2.03691,19,20.8373,1.73762,19
0.933333,right ear,14.1796,-12.2424,19,13.5511,-11.9431,19
0.933333,left front paw,23.0186,-1.59183,-8,26.3384,-2.99358,-8
0.933333,right front paw,18.7398,-11.7255,-8,15.42,-10.3238,-8
0.933333,left hind paw,-0.124912,16.8642,-8,-3.44471,18.266,-8
0.933333,right hind paw,-10.6275,-8.00935,-8,-7.30775,-9.4111,-8
0.933333,tail root,-25.183,12.7906,-6,-25.183,12.7906,-6
0.933333,head center,17.1942,-5.10272,19,17.1942,-5.10272,19
0.933333,tail base,-5.37623,4.42744,19,-5.37623,4.42744,19
0.966667,nose,38.5117,-5.04445,2.5,38.0591,-7.0881,2.5
0.966667,left ear,20.0625,5.8959,19,20.8545,5.72054,19
0.966667,right ear,17.5079,-9.39212,19,16.716,-9.21676,19
0.966667,left front paw,23.637,3.01741,-8,27.7831,2.32458,-8
0.966667,right front paw,21.824,-7.83216,-8,17.6779,-7.13933,-8
0.966667,left hind paw,-3.15471,15.6053,-8,-7.30082,16.2981,-8
0.966667,right hind paw,-7.60477,-11.0255,-8,-3.45865,-11.7183,-8
0.966667,tail root,-26.5857,5.83347,-6,-26.5857,5.83347,-6
0.966667,head center,18.7852,-1.74811,19,18.7852,-1.74811,19
0.966667,tail base,-5.37974,2.28991,19,-5.37974,2.28991,19
1,nose,39.5841,-0.126905,2.5,39.3805,-2.50879,2.5
1,left ear,19.788,8.13001,19,20.711,8.05112,19
1,right ear,19.3932,-7.36496,19,18.4702,-7.28606,19
1,left front paw,23.7294,5.77886,-8,28.5348,5.65642,-8
1,right front paw,23.4492,-5.21757,-8,18.6439,-5.09513,-8
1,left hind paw,-4.55756,14.5022,-8,-9.36294,14.6246,-8
1,right hind paw,-5.2453,-12.489,-8,-0.43992,-12.6115,-8
1,tail root,-26.3945,1.55422,-6,-26.3945,1.55422,-6
1,head center,19.5906,0.382527,19,19.5906,0.382527,19
1,tail base,-4.90143,1.00658,19,-4.90143,1.00658,19
1.03333,nose,40.0123,4.43589,2.5,40.1053,1.74908,2.5
1.03333,left ear,19.3278,10.1117,19,20.369,10.1478,19
1.03333,right ear,20.9042,-5.30792,19,19.863,-5.34397,19
1.03333,left front paw,23.5359,8.28018,-8,28.9214,8.83074,-8
1.03333,right front paw,24.6546,-2.66278,-8,19.2691,-3.21335,-8
1.03333,left hind paw,-5.62992,13.3403,-8,-11.0155,12.7897,-8
1.03333,right hind paw,-2.88403,-13.5197,-8,2.5015,-12.9692,-8
1.03333,tail root,-25.6455,-2.27629,-6,-25.6455,-2.27629,-6
1.03333,head center,20.116,2.4019,19,20.116,2.4019,19
1.03333,tail base,-4.25698,-0.0897425,19,-4.25698,-0.0897425,19
1.06667,nose,40.7943,0.0678699,2.5,40.5078,-2.90491,2.5
1.06667,left ear,20.9643,8.24307,19,22.1162,8.13204,19
1.06667,right ear,20.6334,-7.2534,19,19.4814,-7.14238,19
1.06667,left front paw,24.9153,5.90819,-8,30.9376,5.77959,-8
1.06667,right front paw,24.6805,-5.08931,-8,18.6583,-4.96071,-8
1.06667,left hind paw,-3.40739,14.5148,-8,-9.42962,14.6434,-8
1.06667,right hind paw,-3.98379,-12.4791,-8,2.03844,-12.6077,-8
1.06667,tail root,-25.1907,1.47685,-6,-25.1907,1.47685,-6
1.06667,head center,20.7988,0.494833,19,20.7988,0.494833,19
1.06667,tail base,-3.69559,1.01786,19,-3.69559,1.01786,19
1.1,nose,41.3099,-1.89002,2.5,40.7942,-5.13409,2.5
1.1,left ear,21.951,7.34538,19,23.208,7.14553,19
1.1,right ear,20.7827,-8.11053,19,19.5256,-7.91069,19
1.1,left front paw,25.77,4.80029,-8,32.388,4.30005,-8
1.1,right front paw,24.9409,-6.16842,-8,18.3228,-5.66818,-8
1.1,left hind paw,-2.04596,14.9256,-8,-8.66402,15.4259,-8
1.1,right hind paw,-4.08102,-11.9976,-8,2.53704,-12.4978,-8
1.1,tail root,-24.5023,3.08455,-6,-24.5023,3.08455,-6
1.1,head center,21.3668,-0.382577,19,21.3668,-0.382577,19
1.1,tail base,-3.06349,1.46405,19,-3.06349,1.46405,19
1.13333,nose,41.0163,-7.68063,2.5,39.8659,-11.0739,2.5
1.13333,left ear,23.3969,4.55121,19,24.7118,4.10545,19
1.13333,right ear,19.7553,-10.5149,19,18.4404,-10.0692,19
1.13333,left front paw,26.7563,1.42444,-8,33.8069,-0.279713,-8
1.13333,right front paw,24.172,-9.26767,-8,17.1214,-7.56352,-8
1.13333,left hind paw,0.933504,15.8963,-8,-6.11707,17.6004,-8
1.13333,right hind paw,-5.40984,-10.348,-8,1.64074,-12.0522,-8
1.13333,tail root,-23.1364,7.82531,-6,-23.1364,7.82531,-6
1.13333,head center,21.5761,-2.98186,19,21.5761,-2.98186,19
1.13333,tail base,-2.23817,2.77413,19,-2.23817,2.77413,19
1.16667,nose,42.3684,-3.64461,2.5,41.5356,-7.4352,2.5
1.16667,left ear,23.4307,6.42655,19,24.8996,6.10385,19
1.16667,right ear,21.5893,-8.96368,19,20.1204,-8.64098,19
1.16667,left front paw,27.1351,3.71727,-8,34.9529,2.78187,-8
1.16667,right front paw,25.8283,-7.20482,-8,18.0104,-6.26942,-8
1.16667,left hind paw,-0.212642,15.0465,-8,-8.03048,15.9819,-8
1.16667,right hind paw,-3.42031,-11.7623,-8,4.39753,-12.6977,-8
1.16667,tail root,-23.1642,4.19635,-6,-23.1642,4.19635,-6
1.16667,head center,22.51,-1.26857,19,22.51,-1.26857,19
1.16667,tail base,-1.81648,1.64209,19,-1.81648,1.64209,19
1.2,nose,42.5938,-6.22645,2.5,41.3818,-10.2254,2.5
1.2,left ear,24.4129,5.15414,19,25.9625,4.68451,19
1.2,right ear,21.4915,-10.0681,19,19.9419,-9.59845,19
1.2,left front paw,27.9171,2.19056,-8,36.2618,0.589112,-8
1.2,right front paw,25.8439,-8.6123,-8,17.4992,-7.01084,-8
1.2,left hind paw,1.43567,15.4187,-8,-6.90898,17.0202,-8
1.2,right hind paw,-3.65313,-11.0974,-8,4.69153,-12.6989,-8
1.2,tail root,-22.2234,6.21284,-6,-22.2234,6.21284,-6
1.2,head center,22.9522,-2.45697,19,22.9522,-2.45697,19
1.2,tail base,-1.10873,2.16065,19,-1.10873,2.16065,19
1.23333,nose,43.8498,0.747948,2.5,43.3869,-3.70373,2.5
1.23333,left ear,23.7845,8.32721,19,25.5095,8.14785,19
1.23333,right ear,23.9166,-7.17222,19,22.1915,-6.99286,19
1.23333,left front paw,27.8035,6.11139,-8,36.9268,6.18914,-8
1.23333,right front paw,27.8972,-4.88821,-8,18.774,-4.96597,-8
1.23333,left hind paw,-0.763649,13.8682,-8,-9.88692,13.7904,-8
1.23333,right hind paw,-0.533538,-13.1308,-8,8.58973,-13.0531,-8
1.23333,tail root,-22.1478,0.185455,-6,-22.1478,0.185455,-6
1.23333,head center,23.8505,0.577496,19,23.8505,0.577496,19
1.23333,tail base,-0.648593,0.368692,19,-0.648593,0.368692,19
1.26667,nose,44.4765,0.143688,2.5,43.8673,-4.58934,2.5
1.26667,left ear,24.5424,8.06163,19,26.3764,7.82559,19
1.26667,right ear,24.412,-7.43782,19,22.5779,-7.20178,19
1.26667,left front paw,28.5233,5.77807,-8,38.2766,5.69603,-8
1.26667,right front paw,28.4308,-5.22155,-8,18.6775,-5.13951,-8
1.26667,left hind paw,0.0915879,14.0175,-8,-9.66167,14.0995,-8
